"","ppm","state","USA_region","source","mgstr","bulk_purchase","fac_mgstr","pred"
"1",0.75,"Florida","South","Internet",10,"Not Bulk","10",0.711709717047872
"2",0.6,"North Carolina","South","Internet",10,"Not Bulk","10",0.711709717047246
"3",0.5,"Colorado","West","Personal",10,"Not Bulk","10",0.769748766368768
"4",1,"Tennessee","South","Internet",5,"Not Bulk","5",1.00063083047702
"5",0.3,"Hawaii","West","Internet",10,"Not Bulk","10",0.711709717047102
"6",0.6,"Virginia","South","Internet",10,"Not Bulk","10",0.711709717047132
"7",0.5,"Illinois","Midwest","Internet",10,"Not Bulk","10",0.711709717047182
"8",0.6,"Georgia","South","Personal",10,"Not Bulk","10",0.769748766368869
"9",0.5,"Florida","South","No Input",40,"Not Bulk","40",0.653578499828212
"10",0.5,"Washington","West","Personal",10,"Not Bulk","10",0.769748766368869
"11",0.9,"Georgia","South","Internet",10,"Not Bulk","10",0.711709717047208
"12",0.8,"Georgia","South","Internet",5,"Not Bulk","5",1.00063083047714
"13",0.5,"Ohio","Midwest","Heard it",10,"Bulk","10",0.744725817043376
"14",1,"New York","Northeast","Personal",10,"Not Bulk","10",0.769748766368869
"15",1,"New York","Northeast","Personal",10,"Not Bulk","10",0.769748766368869
"16",1,"New York","Northeast","Personal",10,"Not Bulk","10",0.769748766368869
"17",0.5,"Pennsylvania","Northeast","Heard it",10,"Not Bulk","10",0.831297700117098
"18",1,"Missouri","Midwest","No Input",5,"Not Bulk","5",1.08427224733984
"19",1,"Minnesota","Midwest","Personal",10,"Not Bulk","10",0.769748766368869
"20",0.65,"New York","Northeast","Internet",10,"Not Bulk","10",0.711709717047208
"21",0.7,"New York","Northeast","Internet",5,"Not Bulk","5",1.00063083047714
"22",1,"Ohio","Midwest","No Input",5,"Not Bulk","5",1.08427224733984
"23",1,"Texas","South","Personal",5,"Not Bulk","5",1.0586698797988
"24",2,"Texas","South","Personal",5,"Bulk","5",0.972097996725079
"25",0.7,"Indiana","Midwest","Heard it",10,"Not Bulk","10",0.831297700117098
"26",0.3,"Nevada","West","No Input",10,"Not Bulk","10",0.795351133909905
"27",0.3,"California","West","No Input",10,"Not Bulk","10",0.795351133909905
"28",0.8,"Wisconsin","Midwest","Heard it",10,"Not Bulk","10",0.831297700117098
"29",1,"Michigan","Midwest","No Input",5,"Not Bulk","5",1.08427224733984
"30",2,"Wisconsin","Midwest","Personal",5,"Not Bulk","5",1.0586698797988
"31",0.7,"Indiana","Midwest","No Input",10,"Not Bulk","10",0.795351133909905
"32",0.4,"California","West","No Input",10,"Not Bulk","10",0.795351133909905
"33",1.2,"Indiana","Midwest","No Input",5,"Not Bulk","5",1.08427224733984
"34",0.8,"California","West","No Input",10,"Not Bulk","10",0.795351133909905
"35",1,"California","West","No Input",5,"Not Bulk","5",1.08427224733984
"36",0.1,"Delaware","South","No Input",10,"Not Bulk","10",0.795351133909905
"37",0.6,"New York","Northeast","Personal",5,"Not Bulk","5",1.0586698797988
"38",1,"Georgia","South","Heard it",5,"Bulk","5",1.03364693047331
"39",1,"Minnesota","Midwest","No Input",10,"Not Bulk","10",0.795351133909905
"40",1,"Missouri","Midwest","Personal",10,"Not Bulk","10",0.769748766368869
"41",0.6,"Tennessee","South","Personal",10,"Not Bulk","10",0.769748766368869
"42",2,"Colorado","West","No Input",5,"Not Bulk","5",1.08427224733984
"43",1,"Ohio","Midwest","No Input",5,"Not Bulk","5",1.08427224733984
"44",2,"Virginia","South","Heard it",5,"Not Bulk","5",1.12021881354703
"45",1,"USA","Other/Unknown","No Input",10,"Not Bulk","10",0.795351133909905
"46",1,"Tennessee","South","No Input",5,"Not Bulk","5",1.08427224733984
"47",1,"Virginia","South","Personal",5,"Not Bulk","5",1.0586698797988
"48",2,"Washington","West","No Input",5,"Not Bulk","5",1.08427224733984
"49",0.2,"Ohio","Midwest","Personal",5,"Not Bulk","5",1.0586698797988
"50",2,"Massachusetts","Northeast","No Input",5,"Not Bulk","5",1.08427224733984
"51",0.6,"Washington","West","Heard it",5,"Not Bulk","5",1.12021881354703
"52",0.6,"Florida","South","Heard it",10,"Not Bulk","10",0.831297700117098
"53",2,"Texas","South","Personal",5,"Not Bulk","5",1.0586698797988
"54",1,"Kentucky","South","Personal",5,"Not Bulk","5",1.0586698797988
"55",1,"New York","Northeast","Personal",5,"Not Bulk","5",1.0586698797988
"56",0.5,"New York","Northeast","No Input",10,"Not Bulk","10",0.795351133909905
"57",1.6,"Massachusetts","Northeast","No Input",5,"Not Bulk","5",1.08427224733984
"58",0.6,"Florida","South","Heard it",5,"Not Bulk","5",1.12021881354703
"59",0.8,"Pennsylvania","Northeast","Personal",10,"Not Bulk","10",0.769748766368869
"60",0.5,"Arizona","West","No Input",10,"Not Bulk","10",0.795351133909905
"61",1,"California","West","Personal",5,"Bulk","5",0.972097996725079
"62",0.6,"Michigan","Midwest","Heard it",10,"Not Bulk","10",0.831297700117098
"63",0.6,"Michigan","Midwest","Heard it",10,"Not Bulk","10",0.831297700117098
"64",0.5,"Florida","South","No Input",10,"Not Bulk","10",0.795351133909905
"65",0.5,"Washington","West","Personal",10,"Not Bulk","10",0.769748766368869
"66",2,"California","West","Personal",5,"Not Bulk","5",1.0586698797988
"67",0.8,"Arizona","West","No Input",5,"Not Bulk","5",1.08427224733984
"68",1,"Louisiana","South","No Input",5,"Not Bulk","5",1.08427224733984
"69",1.2,"North Carolina","South","Personal",5,"Not Bulk","5",1.0586698797988
"70",1.6,"Alabama","South","Personal",5,"Not Bulk","5",1.0586698797988
"71",0.834,"USA","Other/Unknown","Internet",10,"Not Bulk","10",0.711709717047208
"72",1.101,"USA","Other/Unknown","Internet",10,"Not Bulk","10",0.711709717047208
"73",0.891,"USA","Other/Unknown","Internet",10,"Bulk","10",0.625137833973486
"74",0.5,"Georgia","South","No Input",10,"Not Bulk","10",0.795351133909905
"75",1,"New York","Northeast","Personal",10,"Not Bulk","10",0.769748766368869
"76",1,"Pennsylvania","Northeast","Heard it",5,"Not Bulk","5",1.12021881354703
"77",0.3,"Missouri","Midwest","Heard it",10,"Not Bulk","10",0.831297700117098
"78",0.5,"New York","Northeast","No Input",10,"Not Bulk","10",0.795351133909905
"79",1,"North Carolina","South","Personal",10,"Bulk","10",0.683176883295147
"80",1.6,"California","West","No Input",5,"Not Bulk","5",1.08427224733984
"81",1,"Ohio","Midwest","No Input",5,"Not Bulk","5",1.08427224733984
"82",0.5,"California","West","Heard it",5,"Not Bulk","5",1.12021881354703
"83",0.5,"Oregon","West","Personal",10,"Not Bulk","10",0.769748766368869
"84",1,"Oregon","West","Personal",10,"Not Bulk","10",0.769748766368869
"85",0.3,"California","West","Personal",10,"Not Bulk","10",0.769748766368869
"86",1.644,"USA","Other/Unknown","Internet",10,"Not Bulk","10",0.711709717047208
"87",0.768,"USA","Other/Unknown","Internet",10,"Bulk","10",0.625137833973486
"88",0.699,"USA","Other/Unknown","Internet",10,"Not Bulk","10",0.711709717047208
"89",1.5,"Louisiana","South","No Input",10,"Not Bulk","10",0.795351133909905
"90",1,"Ohio","Midwest","No Input",5,"Not Bulk","5",1.08427224733984
"91",1,"Washington","West","No Input",10,"Not Bulk","10",0.795351133909905
"92",1,"Indiana","Midwest","No Input",5,"Not Bulk","5",1.08427224733984
"93",1,"Florida","South","No Input",5,"Not Bulk","5",1.08427224733984
"94",1.6,"Virginia","South","No Input",5,"Not Bulk","5",1.08427224733984
"95",1.2,"Illinois","Midwest","Heard it",10,"Not Bulk","10",0.831297700117098
"96",1.092,"USA","Other/Unknown","Internet",10,"Bulk","10",0.625137833973486
"97",1.238,"USA","Other/Unknown","Internet",10,"Not Bulk","10",0.711709717047208
"98",0.751,"USA","Other/Unknown","Internet",10,"Bulk","10",0.625137833973486
"99",2,"Oregon","West","No Input",5,"Not Bulk","5",1.08427224733984
"100",0.5,"Wisconsin","Midwest","No Input",10,"Not Bulk","10",0.795351133909905
"101",1,"Ohio","Midwest","Personal",40,"Not Bulk","40",0.627976132287176
"102",1,"Massachusetts","Northeast","No Input",10,"Not Bulk","10",0.795351133909905
"103",0.5,"Oregon","West","Heard it",40,"Bulk","40",0.602953182961683
"104",2,"Texas","South","Heard it",5,"Not Bulk","5",1.12021881354703
"105",1,"Nevada","West","Heard it",5,"Bulk","5",1.03364693047331
"106",0.5,"Nevada","West","Heard it",10,"Not Bulk","10",0.831297700117098
"107",1,"Nevada","West","Heard it",10,"Bulk","10",0.744725817043376
"108",1,"Nevada","West","Heard it",10,"Bulk","10",0.744725817043376
"109",1,"Indiana","Midwest","Heard it",10,"Not Bulk","10",0.831297700117098
"110",2,"Virginia","South","No Input",5,"Not Bulk","5",1.08427224733984
"111",0.818,"USA","Other/Unknown","Internet",10,"Bulk","10",0.625137833973486
