"","ppm","state","USA_region","source","mgstr","bulk_purchase","fac_mgstr"
"1",0.75,"Florida","South","Internet",10,"Not Bulk","10"
"2",0.6,"North Carolina","South","Internet",10,"Not Bulk","10"
"3",0.5,"Colorado","West","Personal",10,"Not Bulk","10"
"4",1,"Tennessee","South","Internet",5,"Not Bulk","5"
"5",0.3,"Hawaii","West","Internet",10,"Not Bulk","10"
"6",0.6,"Virginia","South","Internet",10,"Not Bulk","10"
"7",0.5,"Illinois","Midwest","Internet",10,"Not Bulk","10"
"8",0.6,"Georgia","South","Personal",10,"Not Bulk","10"
"9",0.5,"Florida","South","No Input",40,"Not Bulk","40"
"10",0.5,"Washington","West","Personal",10,"Not Bulk","10"
"11",0.9,"Georgia","South","Internet",10,"Not Bulk","10"
"12",0.8,"Georgia","South","Internet",5,"Not Bulk","5"
"13",0.5,"Ohio","Midwest","Heard it",10,"Bulk","10"
"14",1,"New York","Northeast","Personal",10,"Not Bulk","10"
"15",1,"New York","Northeast","Personal",10,"Not Bulk","10"
"16",1,"New York","Northeast","Personal",10,"Not Bulk","10"
"17",0.5,"Pennsylvania","Northeast","Heard it",10,"Not Bulk","10"
"18",1,"Missouri","Midwest","No Input",5,"Not Bulk","5"
"19",1,"Minnesota","Midwest","Personal",10,"Not Bulk","10"
"20",0.65,"New York","Northeast","Internet",10,"Not Bulk","10"
"21",0.7,"New York","Northeast","Internet",5,"Not Bulk","5"
"22",1,"Ohio","Midwest","No Input",5,"Not Bulk","5"
"23",1,"Texas","South","Personal",5,"Not Bulk","5"
"24",2,"Texas","South","Personal",5,"Bulk","5"
"25",0.7,"Indiana","Midwest","Heard it",10,"Not Bulk","10"
"26",0.3,"Nevada","West","No Input",10,"Not Bulk","10"
"27",0.3,"California","West","No Input",10,"Not Bulk","10"
"28",0.8,"Wisconsin","Midwest","Heard it",10,"Not Bulk","10"
"29",1,"Michigan","Midwest","No Input",5,"Not Bulk","5"
"30",2,"Wisconsin","Midwest","Personal",5,"Not Bulk","5"
"31",0.7,"Indiana","Midwest","No Input",10,"Not Bulk","10"
"32",0.4,"California","West","No Input",10,"Not Bulk","10"
"33",1.2,"Indiana","Midwest","No Input",5,"Not Bulk","5"
"34",0.8,"California","West","No Input",10,"Not Bulk","10"
"35",1,"California","West","No Input",5,"Not Bulk","5"
"36",0.1,"Delaware","South","No Input",10,"Not Bulk","10"
"37",0.6,"New York","Northeast","Personal",5,"Not Bulk","5"
"38",1,"Georgia","South","Heard it",5,"Bulk","5"
"39",1,"Minnesota","Midwest","No Input",10,"Not Bulk","10"
"40",1,"Missouri","Midwest","Personal",10,"Not Bulk","10"
"41",0.6,"Tennessee","South","Personal",10,"Not Bulk","10"
"42",2,"Colorado","West","No Input",5,"Not Bulk","5"
"43",1,"Ohio","Midwest","No Input",5,"Not Bulk","5"
"44",2,"Virginia","South","Heard it",5,"Not Bulk","5"
"45",1,"USA","Other/Unknown","No Input",10,"Not Bulk","10"
"46",1,"Tennessee","South","No Input",5,"Not Bulk","5"
"47",1,"Virginia","South","Personal",5,"Not Bulk","5"
"48",2,"Washington","West","No Input",5,"Not Bulk","5"
"49",0.2,"Ohio","Midwest","Personal",5,"Not Bulk","5"
"50",2,"Massachusetts","Northeast","No Input",5,"Not Bulk","5"
"51",0.6,"Washington","West","Heard it",5,"Not Bulk","5"
"52",0.6,"Florida","South","Heard it",10,"Not Bulk","10"
"53",2,"Texas","South","Personal",5,"Not Bulk","5"
"54",1,"Kentucky","South","Personal",5,"Not Bulk","5"
"55",1,"New York","Northeast","Personal",5,"Not Bulk","5"
"56",0.5,"New York","Northeast","No Input",10,"Not Bulk","10"
"57",1.6,"Massachusetts","Northeast","No Input",5,"Not Bulk","5"
"58",0.6,"Florida","South","Heard it",5,"Not Bulk","5"
"59",0.8,"Pennsylvania","Northeast","Personal",10,"Not Bulk","10"
"60",0.5,"Arizona","West","No Input",10,"Not Bulk","10"
"61",1,"California","West","Personal",5,"Bulk","5"
"62",0.6,"Michigan","Midwest","Heard it",10,"Not Bulk","10"
"63",0.6,"Michigan","Midwest","Heard it",10,"Not Bulk","10"
"64",0.5,"Florida","South","No Input",10,"Not Bulk","10"
"65",0.5,"Washington","West","Personal",10,"Not Bulk","10"
"66",2,"California","West","Personal",5,"Not Bulk","5"
"67",0.8,"Arizona","West","No Input",5,"Not Bulk","5"
"68",1,"Louisiana","South","No Input",5,"Not Bulk","5"
"69",1.2,"North Carolina","South","Personal",5,"Not Bulk","5"
"70",1.6,"Alabama","South","Personal",5,"Not Bulk","5"
"71",0.834,"USA","Other/Unknown","Internet",10,"Not Bulk","10"
"72",1.101,"USA","Other/Unknown","Internet",10,"Not Bulk","10"
"73",0.891,"USA","Other/Unknown","Internet",10,"Bulk","10"
"74",0.5,"Georgia","South","No Input",10,"Not Bulk","10"
"75",1,"New York","Northeast","Personal",10,"Not Bulk","10"
"76",1,"Pennsylvania","Northeast","Heard it",5,"Not Bulk","5"
"77",0.3,"Missouri","Midwest","Heard it",10,"Not Bulk","10"
"78",0.5,"New York","Northeast","No Input",10,"Not Bulk","10"
"79",1,"North Carolina","South","Personal",10,"Bulk","10"
"80",1.6,"California","West","No Input",5,"Not Bulk","5"
"81",1,"Ohio","Midwest","No Input",5,"Not Bulk","5"
